hist_wins,hist_losses,hist_win_loss_perc,hist_avg_points_for,hist_avg_points_against,hist_avg_yards_for,hist_avg_yards_against,hist_avg_turnovers,team,win_loss_diff,points_for_diff,points_against_diff,yards_for_diff,yards_against_diff,turnovers_diff
0,5,0.0,266.0,375.2,4395.0,5817.8,21.0,Washington Redskins,-0.4324324324324324,-97.40540540540542,-4.77297297297298,-1187.8918918918916,71.96216216216271,-2.0540540540540526
3,2,0.6,383.0,388.0,5873.0,5801.4,18.0,Green Bay Packers,0.16756756756756758,19.594594594594582,8.027027027027032,290.10810810810835,55.56216216216217,-5.054054054054053
4,1,0.8,451.0,350.6,6366.0,5652.4,28.0,Buffalo Bills,0.36756756756756764,87.59459459459458,-29.372972972972946,783.1081081081084,-93.43783783783783,4.945945945945947
0,5,0.0,236.0,366.2,4510.0,5676.2,20.0,Carolina Panthers,-0.4324324324324324,-127.40540540540542,-13.77297297297298,-1072.8918918918916,-69.63783783783765,-3.0540540540540526
5,0,1.0,396.0,349.6,5710.0,5424.6,37.0,Cleveland Browns,0.5675675675675675,32.59459459459458,-30.372972972972946,127.10810810810835,-321.2378378378371,13.945945945945947
5,0,1.0,509.0,424.0,6317.0,6218.0,16.0,Dallas Cowboys,0.5675675675675675,145.59459459459458,44.02702702702703,734.1081081081084,472.16216216216253,-7.054054054054053
3,2,0.6,461.0,419.2,6712.0,6086.2,23.0,Detroit Lions,0.16756756756756758,97.59459459459458,39.22702702702702,1129.1081081081084,340.36216216216235,-0.054054054054052614
2,3,0.4,366.0,362.2,5422.0,5698.4,16.0,Cincinnati Bengals,-0.03243243243243238,2.5945945945945823,-17.77297297297298,-160.89189189189165,-47.43783783783783,-7.054054054054053
1,4,0.2,371.0,453.4,5972.0,6371.2,28.0,Kansas City Chiefs,-0.2324324324324324,7.594594594594582,73.42702702702701,389.10810810810835,625.3621621621623,4.945945945945947
4,1,0.8,496.0,416.4,6822.0,5903.4,25.0,Miami Dolphins,0.36756756756756764,132.59459459459458,36.42702702702701,1239.1081081081084,157.56216216216217,1.9459459459459474
0,5,0.0,266.0,411.0,4760.0,5952.2,19.0,New York Giants,-0.4324324324324324,-97.40540540540542,31.02702702702703,-822.8918918918916,206.36216216216235,-4.054054054054053
5,0,1.0,491.0,389.6,6773.0,5996.4,18.0,San Francisco 49ers,0.5675675675675675,127.59459459459458,9.627027027027054,1190.1081081081084,250.56216216216217,-5.054054054054053
3,2,0.6,364.0,372.6,5490.0,5678.4,17.0,Seattle Seahawks,0.16756756756756758,0.5945945945945823,-7.372972972972946,-92.89189189189165,-67.43783783783783,-6.054054054054053
0,5,0.0,305.0,398.2,4913.0,5944.8,20.0,Tennessee Titans,-0.4324324324324324,-58.40540540540542,18.22702702702702,-669.8918918918916,198.9621621621627,-3.0540540540540526
0,5,0.0,304.0,412.0,5173.0,5859.8,16.0,Pittsburgh Steelers,-0.4324324324324324,-59.40540540540542,32.02702702702703,-409.89189189189165,113.96216216216271,-7.054054054054053
5,0,1.0,433.0,314.8,6024.0,5168.0,28.0,Philadelphia Eagles,0.5675675675675675,69.59459459459458,-65.17297297297296,441.10810810810835,-577.8378378378375,4.945945945945947
3,2,0.6,377.0,353.6,5772.0,5350.0,30.0,Jacksonville Jaguars,0.16756756756756758,13.594594594594582,-26.372972972972946,189.10810810810835,-395.83783783783747,6.945945945945947
1,4,0.2,344.0,400.6,5912.0,5928.2,34.0,Minnesota Vikings,-0.2324324324324324,-19.405405405405418,20.627027027027054,329.10810810810835,182.36216216216235,10.945945945945947
1,4,0.2,330.0,390.4,5509.0,5791.0,18.0,Arizona Cardinals,-0.2324324324324324,-33.40540540540542,10.427027027027009,-73.89189189189165,45.16216216216253,-5.054054054054053
1,4,0.2,321.0,348.4,5683.0,5356.6,28.0,Atlanta Falcons,-0.2324324324324324,-42.40540540540542,-31.57297297297299,100.10810810810835,-389.2378378378371,4.945945945945947
5,0,1.0,396.0,340.0,5725.0,5404.0,22.0,Indianapolis Colts,0.5675675675675675,32.59459459459458,-39.97297297297297,142.10810810810835,-341.83783783783747,-1.0540540540540526
1,4,0.2,280.0,370.0,4761.0,5802.4,22.0,St. Louis Rams,-0.2324324324324324,-83.40540540540542,-9.972972972972968,-821.8918918918916,56.56216216216217,-1.0540540540540526
4,1,0.8,402.0,315.0,5732.0,5276.4,18.0,New Orleans Saints,0.36756756756756764,38.59459459459458,-64.97297297297297,149.10810810810835,-469.43783783783783,-5.054054054054053
2,3,0.4,313.0,354.4,5819.0,5599.2,17.0,Oakland Raiders,-0.03243243243243238,-50.40540540540542,-25.57297297297299,236.10810810810835,-146.63783783783765,-6.054054054054053
4,1,0.8,410.0,358.4,5708.0,5495.6,35.0,San Diego Chargers,0.36756756756756764,46.59459459459458,-21.57297297297299,125.10810810810835,-250.2378378378371,11.945945945945947
1,4,0.2,348.0,381.8,5321.0,5750.0,18.0,Tampa Bay Buccaneers,-0.2324324324324324,-15.405405405405418,1.827027027027043,-261.89189189189165,4.162162162162531,-5.054054054054053
1,4,0.2,268.0,366.8,4566.0,5673.0,33.0,New York Jets,-0.2324324324324324,-95.40540540540542,-13.172972972972957,-1016.8918918918916,-72.83783783783747,9.945945945945947
3,2,0.6,483.0,407.8,6296.0,6112.0,19.0,Baltimore Ravens,0.16756756756756758,119.59459459459458,27.827027027027043,713.1081081081084,366.16216216216253,-4.054054054054053
0,5,0.0,236.0,350.2,4696.0,5429.8,29.0,New England Patriots,-0.4324324324324324,-127.40540540540542,-29.77297297297298,-886.8918918918916,-316.0378378378373,5.945945945945947
1,4,0.2,377.0,395.2,5820.0,5670.8,14.0,Houston Texans,-0.2324324324324324,13.594594594594582,15.22702702702702,237.10810810810835,-75.03783783783729,-9.054054054054053
4,1,0.8,357.0,344.2,5072.0,5505.6,22.0,Denver Broncos,0.36756756756756764,-6.405405405405418,-35.77297297297298,-510.89189189189165,-240.2378378378371,-1.0540540540540526
2,3,0.4,360.0,378.2,5495.0,5897.4,25.0,Chicago Bears,-0.03243243243243238,-3.4054054054054177,-1.7729729729729797,-87.89189189189165,151.56216216216217,1.9459459459459474
3,2,0.6,404.0,389.8,6108.0,5858.8,18.0,Los Angeles Rams,0.16756756756756758,40.59459459459458,9.827027027027043,525.1081081081084,112.96216216216271,-5.054054054054053
1,4,0.2,346.0,373.6,5599.0,5480.8,21.0,Los Angeles Chargers,-0.2324324324324324,-17.405405405405418,-6.372972972972946,16.108108108108354,-265.0378378378373,-2.0540540540540526
1,4,0.2,335.0,441.2,5502.0,6192.0,24.0,Washington Football Team,-0.2324324324324324,-28.405405405405418,61.22702702702702,-80.89189189189165,446.16216216216253,0.9459459459459474
0,5,0.0,332.0,362.8,4922.0,5656.0,24.0,Las Vegas Raiders,-0.4324324324324324,-31.405405405405418,-17.172972972972957,-660.8918918918916,-89.83783783783747,0.9459459459459474
1,4,0.2,329.0,433.6,5317.0,6117.2,32.0,Washington Commanders,-0.2324324324324324,-34.40540540540542,53.627027027027054,-265.89189189189165,371.36216216216235,8.945945945945947
